id,age,timestamp,trick_or_treat,n_mints,dress,font
ID0254,30,2015-10-23T10:53:27Z,No,12,Blue and black,NA
ID0255,64,2015-10-23T10:54:02Z,No,NA,Blue and black,Comic sans (haha)
ID0257,26,2015-10-23T10:54:50Z,Yes,3,Blue and black,Papyrus ;P
ID0258,50,2015-10-23T10:55:03Z,No,1 give or take,White and gold,Tag Let
ID0259,43,2015-10-23T10:56:03Z,No,2,White and gold,wing ding
ID0260,29,2015-10-23T10:56:30Z,No,6,Blue and black,Trebuchet
ID0261,43,2015-10-23T10:56:43Z,Yes,18,Blue and black,Hobo
ID0262,45,2015-10-23T10:56:50Z,No,23,White and gold,helvetica
ID0263,37,2015-10-23T10:57:04Z,No,4,White and gold,arial
ID0264,34,2015-10-23T10:57:31Z,No,5,White and gold,"comic sans, motherfuckers."
ID0265,35,2015-10-23T10:59:55Z,No,4,Blue and black,helvetica
ID0267,53,2015-10-23T11:00:14Z,No,4,White and gold,times new roman
ID0268,37,2015-10-23T11:00:16Z,No,4,Blue and black,Centaur
ID0269,45,2015-10-23T11:01:48Z,No,5,White and gold,Ariel?
ID0270,32,2015-10-23T11:02:12Z,No,1337,Blue and black,Wingdings
ID0271,40,2015-10-23T11:03:40Z,No,14,Blue and black,Verdana
ID0272,60,2015-10-23T11:03:47Z,No,0,Blue and black,Helvetica
ID0273,58,2015-10-23T11:03:52Z,No,3,Blue and black,Tahoma
ID0275,43,2015-10-23T11:04:54Z,Yes,17,White and gold,American Typewriter
ID0276,30,2015-10-23T11:05:00Z,No,7,White and gold,Adobe Garamond Pro Regular. NOT OTHER GARAMONDS. Adobe required. I am super cereal.
ID0277,48,2015-10-23T11:05:42Z,No,5,White and gold,NA
ID0279,39,2015-10-23T11:06:59Z,No,3,White and gold,helvetica
ID0280,43,2015-10-23T11:07:47Z,No,5,Blue and black,Giant-Size Man-Thing
ID0281,36,2015-10-23T11:08:02Z,No,5,White and gold,saaaaaaaaaaaand
ID0282,35,2015-10-23T11:09:13Z,Yes,NA,White and gold,NA
ID0283,55,2015-10-23T11:09:58Z,No,1,White and gold,Font en Bleu
ID0284,58,2015-10-23T11:10:15Z,No,1,White and gold,comic sans
ID0285,34,2015-10-23T11:10:43Z,No,10,Blue and black,Orator
ID0286,31,2015-10-23T11:10:45Z,No,42,Blue and black,of youth
ID0287,31,2015-10-23T11:10:51Z,No,12,Blue and black,Eurostile
ID0288,53,2015-10-23T11:11:15Z,No,6.9,White and gold,Chiller
ID0290,26,2015-10-23T11:12:02Z,No,7,White and gold,Impact
ID0291,40,2015-10-23T11:12:25Z,No,5,Blue and black,futura
ID0292,44,2015-10-23T11:13:00Z,No,6,Blue and black,Garamond
ID0293,43,2015-10-23T11:13:14Z,No,6,White and gold,Bookman Antique
ID0294,42,2015-10-23T11:13:17Z,No,2,NA,Frutiger Light
ID0295,40,2015-10-23T11:13:41Z,No,NA,NA,NA
ID0296,26,2015-10-23T11:14:19Z,No,NA,Blue and black,Calibri
ID0297,51,2015-10-23T11:15:14Z,No,0,Blue and black,segoe
ID0298,58,2015-10-23T11:15:24Z,No,NA,Blue and black,Century Gothic
ID0299,46,2015-10-23T11:15:32Z,No,7,Blue and black,Ha ha comic San's!
ID0300,52,2015-10-23T11:16:06Z,No,137,Blue and black,comic sans
ID0301,26,2015-10-23T11:18:22Z,No,6,Blue and black,iskoola
ID0302,54,2015-10-23T11:18:26Z,No,1,Blue and black,garamond
ID0303,43,2015-10-23T11:18:55Z,No,4,Blue and black,courier
ID0304,41,2015-10-23T11:19:45Z,No,4,White and gold,Futura
ID0305,32,2015-10-23T11:19:45Z,No,14,NA,Centura
ID0306,45,2015-10-23T11:19:46Z,Yes,6,White and gold,Pass
ID0307,34,2015-10-23T11:20:40Z,No,5,White and gold,NA
ID0308,40,2015-10-23T11:21:21Z,No,3,White and gold,comic sans - bitches
ID0309,54,2015-10-23T11:22:18Z,No,5,Blue and black,Helvetica
ID0310,36,2015-10-23T11:23:11Z,No,17,Blue and black,Helvetica
